datestr,auth_state,mega_region,marketplace,sub_marketplace,psp_name,num_trips_authed
2018-08-20,APPLIED,EMEA,personal_transport,U4B-Unmanaged,other,45
2018-08-20,DROPPED,LatAm,personal_transport,U4B-Managed-Centralized-Missing,braintree,3
2018-08-21,FAILED,US & Canada,personal_transport,U4B-Unmanaged,braintree,1
2018-08-21,VOIDED,EMEA,personal_transport,U4B-Unmanaged,other,8
2018-08-23,UNAPPLIED,EMEA,personal_transport,U4B-Unmanaged,paypal,1579
2018-08-24,DROPPED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,27283
2018-09-01,APPLIED,APACX,personal_transport,U4B-Unmanaged,paypal,22
2018-09-01,UNAPPLIED,EMEA,Not_Avlbl,Not_Avlbl,paypal,7
2018-09-02,PENDING,US & Canada,personal_transport,U4B-Managed-Decentralized,paypal,1
2018-09-02,VOIDED,APACX,personal_transport,U4B-Unmanaged,paypal,423
2018-09-05,FAILED,US & Canada,personal_transport,U4B-Managed-Centralized,braintree,1
2018-09-05,UNAPPLIED,EMEA,agora,Not_Avlbl,braintree,133276
2018-09-05,UNAPPLIED,India SA,personal_transport,U4B-Unmanaged,paytm,18878
2018-09-13,UNAPPLIED,EMEA,personal_transport,U4B-Unmanaged,other,126
2018-09-15,APPLIED,EMEA,personal_transport,U4B-Unmanaged,paypal,577
2018-09-15,DROPPED,India SA,agora,Not_Avlbl,paytm,625
2018-09-15,FAILED,EMEA,personal_transport,Not_Avlbl,paypal,85
2018-09-16,VOIDED,EMEA,personal_transport,U4B-Unmanaged,paypal,1244
2018-09-23,DROPPED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paypal,26
2018-09-24,DROPPED,US & Canada,agora,U4B-Unmanaged,braintree,3
2018-10-01,DROPPED,LatAm,personal_transport,U4F,braintree,36
2018-10-06,PENDING,LatAm,personal_transport,Not_Avlbl,other,2034
2018-10-09,DROPPED,EMEA,personal_transport,Not_Avlbl,braintree,1079
2018-10-11,FAILED,APACX,personal_transport,U4F,braintree,30
2018-07-03,PENDING,LatAm,agora,Not_Avlbl,braintree,48488
2018-07-06,PENDING,US & Canada,personal_transport,Not_Avlbl,paypal,167510
2018-07-11,PENDING,LatAm,personal_transport,U4B-Unmanaged,other,11
2018-07-13,DROPPED,India SA,personal_transport,U4B-Managed-Decentralized,paytm,10
2018-07-14,DROPPED,EMEA,personal_transport,U4B-Unmanaged,braintree,23
2018-07-17,UNAPPLIED,US & Canada,agora,Not_Avlbl,braintree,322244
2018-07-19,UNAPPLIED,US & Canada,personal_transport,U4B-Managed-Centralized,paypal,18
2018-07-24,FAILED,LatAm,agora,Not_Avlbl,braintree,24
2018-07-25,UNAPPLIED,US & Canada,personal_transport,U4B-Unmanaged,other,2735
2018-07-27,APPLIED,US & Canada,personal_transport,U4B-Unmanaged,paypal,4291
2018-07-27,FAILED,US & Canada,personal_transport,Not_Avlbl,paypal,114
2018-07-28,VOIDED,US & Canada,personal_transport,U4B-Unmanaged,paypal,526
2018-07-30,FAILED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,160904
2018-07-30,UNAPPLIED,APACX,personal_transport,U4B-Managed-Centralized,braintree,50
2018-07-31,PENDING,EMEA,personal_transport,Not_Avlbl,braintree,359372
2018-07-31,UNAPPLIED,India SA,personal_transport,U4B-Managed-Centralized,braintree,176
2018-08-06,PENDING,LatAm,personal_transport,U4B-Unmanaged,paypal,1946
2018-08-09,APPLIED,US & Canada,agora,Not_Avlbl,braintree,363232
2018-08-17,APPLIED,US & Canada,personal_transport,U4B-Unmanaged,other,2637
